song,year,dominant_topic,nombre_topic,dominant_prob,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
1968,1993,1,Amor o Anhelo emocional,0.538563892,0.53856389,0.00740843,0.00741054,0.00740824,0.43920889
acrostico,2024,1,Amor o Anhelo emocional,0.388330299,0.3883303,0.00229928,0.03043144,0.20132472,0.37761426
Addicted To You,2010,4,Amor persistente y/o contradicciones,0.6000853,0.00392202,0.00392218,0.38814809,0.6000853,0.00392241
Amarillo,2017,5,"Reflexión, crecimiento y amor trascendente",0.513554531,0.00281739,0.11275875,0.00281743,0.3680519,0.51355453
Amor,2024,4,Amor persistente y/o contradicciones,0.983672057,0.00408205,0.00408172,0.00408208,0.98367206,0.00408209
Años Luz,2009,4,Amor persistente y/o contradicciones,0.412498255,0.32229952,0.00246931,0.2602629,0.41249826,0.00247001
Antes de Las Seis,2010,1,Amor o Anhelo emocional,0.978373003,0.978373,0.00540566,0.00540692,0.00540795,0.00540647
Antología,1995,4,Amor persistente y/o contradicciones,0.6418725,0.3508962,0.00240991,0.00241124,0.6418725,0.00241014
Ay Haití,2010,5,"Reflexión, crecimiento y amor trascendente",0.562129448,0.00162631,0.00162629,0.13489779,0.29972016,0.56212945
Bésame (part. Alejandro Sanz),2025,5,"Reflexión, crecimiento y amor trascendente",0.992918376,0.00177031,0.00177067,0.00177037,0.00177028,0.99291838
Blanca Mujer (feat. Draco Rosa),2013,1,Amor o Anhelo emocional,0.987298396,0.9872984,0.00317485,0.00317529,0.00317624,0.00317522
Brujería ,1993,4,Amor persistente y/o contradicciones,0.989872078,0.00253198,0.00253209,0.00253187,0.98987208,0.00253198
Cazador de Amor,1991,5,"Reflexión, crecimiento y amor trascendente",0.520221947,0.46355821,0.00540622,0.00540686,0.00540676,0.52022195
Chantaje (part. Maluma),2016,3,Caos emocional y deseo impulsivo,0.993983824,0.00150404,0.00150399,0.99398382,0.00150412,0.00150403
Chica Material (Material Girl) ,1989,5,"Reflexión, crecimiento y amor trascendente",0.983671006,0.00408216,0.0040825,0.00408223,0.0040821,0.98367101
"Ciega, Sordomuda ",1998,4,Amor persistente y/o contradicciones,0.994243612,0.00143901,0.00143931,0.001439,0.99424361,0.00143908
Clandestino (part. Maluma),2018,2,Aventuras amorosas y celebración ligera,0.78027164,0.19712863,0.78027164,0.01967918,0.00146037,0.00146018
Cohete (part. Rauw Alejandro),2024,5,"Reflexión, crecimiento y amor trascendente",0.989871337,0.00253221,0.0025321,0.00253214,0.00253221,0.98987134
"Cómo, Dónde y Cuándo",2024,5,"Reflexión, crecimiento y amor trascendente",0.989871993,0.00253254,0.00253179,0.00253173,0.00253194,0.98987199
Controlas Mi Destino ,1993,5,"Reflexión, crecimiento y amor trascendente",0.986881902,0.00328014,0.00327927,0.00327957,0.00327912,0.9868819
Copa Vacía (part. Manuel Turizo),2023,3,Caos emocional y deseo impulsivo,0.995979308,0.00100523,0.00100513,0.99597931,0.00100516,0.00100517
Cuentas Conmigo ,1991,2,Aventuras amorosas y celebración ligera,0.993599147,0.00160035,0.99359915,0.00160013,0.00160007,0.00160029
Deja Vu (part. Prince Royce) ,2017,4,Amor persistente y/o contradicciones,0.579714775,0.05570882,0.00281714,0.00281766,0.57971477,0.35894161
Devoción,2010,5,"Reflexión, crecimiento y amor trascendente",0.673853863,0.00190516,0.00190518,0.00190505,0.32043075,0.67385386
Día de Enero ,2006,1,Amor o Anhelo emocional,0.477899564,0.47789956,0.00338999,0.15400433,0.36131511,0.00339102
Día Especial ,2005,1,Amor o Anhelo emocional,0.518809777,0.51880978,0.4665541,0.00487888,0.00487903,0.00487822
"
Dónde Están Los Ladrones ",1998,1,Amor o Anhelo emocional,0.978373364,0.97837336,0.00540595,0.00540673,0.00540562,0.00540834
El Vendedor ,2024,4,Amor persistente y/o contradicciones,0.447117563,0.19445735,0.00259828,0.35322862,0.44711756,0.00259818
En Tus Pupilas,2005,4,Amor persistente y/o contradicciones,0.990801903,0.00229949,0.00230008,0.00229915,0.9908019,0.00229939
Eres,1993,4,Amor persistente y/o contradicciones,0.714623513,0.00350896,0.22355408,0.05480393,0.71462351,0.00350951
Estoy Aquí,1995,4,Amor persistente y/o contradicciones,0.994557192,0.00136077,0.0013606,0.00136071,0.99455719,0.00136073
Eterno Amor ,1993,4,Amor persistente y/o contradicciones,0.524350613,0.25097841,0.21947521,0.00259796,0.52435061,0.0025978
Gafas Oscuras ,1991,2,Aventuras amorosas y celebración ligera,0.99100937,0.0022476,0.99100937,0.00224731,0.00224762,0.0022481
Gitana,2009,4,Amor persistente y/o contradicciones,0.506154988,0.48488828,0.00298546,0.00298561,0.50615499,0.00298567
