topic,word,weight,rank
1,vuelve,36.82917702,0
1,necesito,30.88739391,1
1,aqui,19.05819192,2
1,anhelo,17.54936236,3
1,amor,16.95330187,4
1,momento,16.01,5
1,dolor,15.63290106,6
1,esperar,15.35366549,7
1,ultimo,14.01003229,8
1,corazon,13.92037183,9
1,servir,13.01,10
1,pasar,12.44338918,11
1,mund,12.158227,12
1,besar,12.07621853,13
1,dias,12.01,14
2,conmigo,24.02846966,0
2,contar,23.88263235,1
2,oscuro,20.01,2
2,enamorar,18.01,3
2,amor,16.96510427,4
2,cansar,15.15186352,5
2,bonito,15.01002359,6
2,gafas,12.01006244,7
2,baile,12.01002916,8
2,mojito,12.01,9
2,dado,12.01,10
2,buscar,11.73984438,11
2,pensar,11.47762031,12
2,dos,10.98514595,13
2,pasar,10.02458724,14
3,loca,59.01,0
3,quedar,36.19375053,1
3,pura,25.01,2
3,hacer,20.88981088,3
3,borrar,17.01,4
3,rato,15.99044464,5
3,rabia,15.01,6
3,espalda,13.87214162,7
3,llevar,12.91037314,8
3,boca,12.02893166,9
3,latir,12.01004952,10
3,vacio,11.81143053,11
3,beber,11.01,12
3,querer,10.64607365,13
3,ganar,10.53163861,14
4,hacer,43.18470573,0
4,saber,39.89582074,1
4,aqui,30.0664962,2
4,corazon,28.75800037,3
4,dejar,23.48932859,4
4,seguir,20.51255597,5
4,cosas,20.22402666,6
4,amar,18.2716682,7
4,sentir,17.85389613,8
4,ver,15.68431555,9
4,pensar,15.62509851,10
4,razon,15.56496964,11
4,mejor,15.32051115,12
4,aun,14.56216204,13
4,nuevo,13.6461142,14
5,pasar,40.1757608,0
5,contigo,35.40173631,1
5,pensar,31.35237561,2
5,sentir,28.92050129,3
5,quedar,25.369758,4
5,salir,24.62245554,5
5,mal,22.09186035,6
5,vez,19.51864217,7
5,querer,17.91495357,8
5,aqui,17.32237917,9
5,mejor,16.98784364,10
5,importar,16.95460816,11
5,vivir,16.30531542,12
5,nacer,16.01,13
5,crecer,15.69764319,14
